/workspace/modeling-lab/ml/algorithmic_grokking/lab1/train.py:44: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.blocks = nn.TransformerEncoder(encoder_layer, num_layers=layers)
device=cuda p=31 train=288 test=673
step,loss,train_acc,test_acc,top_embedding_frequencies
1,3.486805,0.0486,0.0267,k=1: 0.080, k=11: 0.078, k=2: 0.076, k=15: 0.073, k=12: 0.070
1000,0.011291,1.0000,0.2927,k=1: 0.080, k=11: 0.078, k=2: 0.076, k=15: 0.073, k=12: 0.070
2000,0.004264,1.0000,0.2927,k=1: 0.080, k=11: 0.079, k=2: 0.076, k=15: 0.073, k=12: 0.070
3000,0.002351,1.0000,0.2927,k=1: 0.080, k=11: 0.079, k=2: 0.076, k=15: 0.073, k=12: 0.070
4000,0.001380,1.0000,0.2912,k=1: 0.080, k=11: 0.079, k=2: 0.076, k=15: 0.073, k=12: 0.070
5000,0.002312,1.0000,0.2897,k=1: 0.080, k=11: 0.079, k=2: 0.076, k=15: 0.072, k=12: 0.070
6000,0.001549,1.0000,0.2897,k=1: 0.080, k=11: 0.079, k=2: 0.076, k=15: 0.072, k=12: 0.070
7000,0.001127,1.0000,0.2897,k=1: 0.080, k=11: 0.079, k=2: 0.076, k=15: 0.072, k=12: 0.070
8000,0.000823,1.0000,0.2897,k=1: 0.080, k=11: 0.079, k=2: 0.076, k=15: 0.072, k=12: 0.070
9000,0.000500,1.0000,0.2897,k=1: 0.080, k=11: 0.080, k=2: 0.076, k=15: 0.072, k=12: 0.070
10000,0.000297,1.0000,0.2897,k=1: 0.080, k=11: 0.080, k=2: 0.076, k=15: 0.072, k=12: 0.070
11000,0.000176,1.0000,0.2897,k=1: 0.080, k=11: 0.080, k=2: 0.076, k=15: 0.072, k=12: 0.071
12000,0.003493,1.0000,0.2897,k=11: 0.083, k=1: 0.080, k=2: 0.076, k=12: 0.072, k=15: 0.071
13000,0.001251,1.0000,0.2897,k=11: 0.083, k=1: 0.080, k=2: 0.076, k=12: 0.072, k=15: 0.071
14000,0.000801,1.0000,0.2897,k=11: 0.083, k=1: 0.080, k=2: 0.076, k=12: 0.071, k=15: 0.071
15000,0.000635,1.0000,0.2897,k=11: 0.083, k=1: 0.080, k=2: 0.076, k=12: 0.071, k=15: 0.071
16000,0.000497,1.0000,0.2897,k=11: 0.083, k=1: 0.080, k=2: 0.075, k=12: 0.071, k=15: 0.071
17000,0.000365,1.0000,0.2897,k=11: 0.083, k=1: 0.080, k=2: 0.075, k=12: 0.071, k=15: 0.071
18000,0.000225,1.0000,0.2897,k=11: 0.083, k=1: 0.080, k=2: 0.075, k=12: 0.071, k=15: 0.071
19000,0.002660,1.0000,0.2897,k=11: 0.088, k=1: 0.079, k=2: 0.076, k=12: 0.075, k=6: 0.070
20000,0.001403,1.0000,0.2897,k=11: 0.088, k=1: 0.079, k=2: 0.076, k=12: 0.075, k=6: 0.071
