step,batch_loss,train_loss,test_loss,train_acc,test_acc,train_margin,test_margin,param_norm,embedding_norm,top_embedding_frequencies
1,3.48680496,3.57077281,3.57391983,0.04861111,0.02674591,-1.03712612,-1.03127811,54.35647964,8.17748165,"k=1: 0.080, k=11: 0.078, k=2: 0.076, k=15: 0.073, k=12: 0.070"
1000,0.01339454,0.01354754,4.00400420,1.00000000,0.29271917,6.52683089,-1.83567758,50.82816696,7.45522404,"k=1: 0.080, k=11: 0.078, k=2: 0.076, k=15: 0.073, k=12: 0.070"
2000,0.00565611,0.00571653,4.13374190,1.00000000,0.29271917,7.54776510,-1.77858477,46.75424957,6.80979443,"k=1: 0.080, k=11: 0.079, k=2: 0.076, k=15: 0.073, k=12: 0.070"
3000,0.00754532,0.00747285,4.79545877,1.00000000,0.28974740,6.65135786,-2.65031662,43.70810699,6.21269846,"k=1: 0.080, k=11: 0.079, k=2: 0.076, k=15: 0.072, k=12: 0.070"
4000,0.00326903,0.00323821,4.51883837,1.00000000,0.28974740,7.86475118,-2.05799591,40.19349289,5.67576122,"k=1: 0.080, k=11: 0.079, k=2: 0.076, k=15: 0.073, k=12: 0.070"
5000,0.00235940,0.00239060,4.42480287,1.00000000,0.28974740,8.36152140,-1.82096947,37.04224777,5.18498087,"k=1: 0.080, k=11: 0.079, k=2: 0.076, k=15: 0.073, k=12: 0.070"
6000,0.00157776,0.00157613,4.47434311,1.00000000,0.29123328,8.86283535,-1.74109485,34.24431610,4.73673153,"k=1: 0.080, k=11: 0.079, k=2: 0.076, k=15: 0.073, k=12: 0.070"
7000,0.00096689,0.00098457,4.58244698,1.00000000,0.29123328,9.35242632,-1.71001299,31.75926018,4.32745695,"k=1: 0.080, k=11: 0.080, k=2: 0.076, k=15: 0.073, k=12: 0.071"
8000,0.00821795,0.00878909,5.60004397,1.00000000,0.28974740,6.18520737,-3.71866874,31.14284515,3.95050192,"k=11: 0.082, k=1: 0.080, k=2: 0.076, k=12: 0.072, k=15: 0.071"
9000,0.00218578,0.00215576,5.13842012,1.00000000,0.28974740,7.95713721,-2.79239848,28.77099037,3.60904694,"k=11: 0.082, k=1: 0.080, k=2: 0.076, k=12: 0.072, k=15: 0.071"
10000,0.00182263,0.00180419,4.83629918,1.00000000,0.28974740,8.43800015,-2.32926535,26.62549019,3.29775143,"k=11: 0.082, k=1: 0.080, k=2: 0.075, k=12: 0.072, k=6: 0.071"
11000,0.02527301,0.02561108,5.53739523,1.00000000,0.29271917,5.06267971,-3.93299084,26.82573128,3.01063371,"k=11: 0.086, k=1: 0.080, k=2: 0.075, k=12: 0.074, k=6: 0.072"
12000,0.00279291,0.00276388,5.53056619,1.00000000,0.28974740,7.58456760,-3.36338391,25.15377617,2.74763179,"k=11: 0.086, k=1: 0.079, k=2: 0.074, k=12: 0.073, k=6: 0.072"
13000,0.00183242,0.00182307,5.26440103,1.00000000,0.28974740,8.26059214,-2.91082428,23.41936111,2.50982356,"k=11: 0.086, k=1: 0.079, k=2: 0.074, k=12: 0.073, k=6: 0.072"
14000,0.00137913,0.00140461,5.15625290,1.00000000,0.28974740,8.71486918,-2.64816506,21.95971680,2.29332638,"k=11: 0.086, k=1: 0.079, k=2: 0.074, k=12: 0.073, k=6: 0.073"
15000,0.00092927,0.00096683,5.23432857,1.00000000,0.29123328,9.17193604,-2.59356934,20.81985283,2.09541106,"k=11: 0.086, k=1: 0.079, k=2: 0.074, k=12: 0.073, k=6: 0.073"
16000,0.00061618,0.00059607,5.41342621,1.00000000,0.29123328,9.67019145,-2.62047560,19.93459320,1.91444445,"k=11: 0.086, k=1: 0.080, k=2: 0.073, k=12: 0.073, k=6: 0.073"
17000,0.00035615,0.00035852,5.64012983,1.00000000,0.29123328,10.16124386,-2.71956350,19.24254227,1.74912441,"k=11: 0.086, k=1: 0.080, k=6: 0.073, k=12: 0.073, k=2: 0.073"
18000,0.00021333,0.00021278,5.88747983,1.00000000,0.29123328,10.65643650,-2.82495661,18.71503830,1.59811342,"k=11: 0.086, k=1: 0.080, k=6: 0.074, k=12: 0.074, k=2: 0.073"
19000,0.00012615,0.00012809,6.13113653,1.00000000,0.29123328,11.11716885,-2.94167923,18.31309509,1.46022713,"k=11: 0.087, k=1: 0.081, k=6: 0.074, k=12: 0.074, k=2: 0.073"
20000,0.00007710,0.00007586,6.39115319,1.00000000,0.29123328,11.66361321,-3.05507421,18.00145721,1.33435118,"k=11: 0.087, k=1: 0.082, k=6: 0.074, k=12: 0.074, k=9: 0.073"
