/workspace/modeling-lab/ml/algorithmic_grokking/lab1/train.py:42: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.blocks = nn.TransformerEncoder(encoder_layer, num_layers=layers)
device=cuda p=31 train=768 test=193
step,loss,train_acc,test_acc,top_embedding_frequencies
1,3.614925,0.0326,0.0363,k=1: 0.080, k=11: 0.078, k=2: 0.076, k=15: 0.073, k=12: 0.070
300,0.708944,0.9414,0.5337,k=1: 0.082, k=11: 0.080, k=2: 0.077, k=15: 0.073, k=12: 0.070
600,0.046287,1.0000,0.7565,k=1: 0.082, k=11: 0.080, k=2: 0.078, k=15: 0.073, k=12: 0.070
900,0.016451,1.0000,0.7565,k=1: 0.082, k=11: 0.080, k=2: 0.078, k=15: 0.073, k=12: 0.070
1200,0.008693,1.0000,0.7565,k=1: 0.082, k=11: 0.080, k=2: 0.078, k=15: 0.073, k=12: 0.070
1500,0.005431,1.0000,0.7565,k=1: 0.082, k=11: 0.080, k=2: 0.078, k=15: 0.073, k=12: 0.070
1800,0.003626,1.0000,0.7565,k=1: 0.082, k=11: 0.080, k=2: 0.078, k=15: 0.073, k=12: 0.070
2100,0.002654,1.0000,0.7565,k=1: 0.082, k=11: 0.080, k=2: 0.078, k=15: 0.073, k=12: 0.070
2400,0.001963,1.0000,0.7565,k=1: 0.082, k=11: 0.080, k=2: 0.078, k=15: 0.073, k=12: 0.070
2700,0.001423,1.0000,0.7565,k=1: 0.082, k=11: 0.080, k=2: 0.078, k=15: 0.073, k=12: 0.070
3000,0.001119,1.0000,0.7565,k=1: 0.082, k=11: 0.080, k=2: 0.078, k=15: 0.073, k=12: 0.070
