step,batch_loss,train_loss,test_loss,train_acc,test_acc,train_margin,test_margin,param_norm,embedding_norm,top_embedding_frequencies
1,3.48680496,3.57073508,3.57388718,0.04861111,0.02674591,-1.03700754,-1.03116475,54.35321045,8.17699146,"k=1: 0.080, k=11: 0.078, k=2: 0.076, k=15: 0.073, k=12: 0.070"
5000,0.00633478,0.00638215,4.90132946,1.00000000,0.28974740,6.84075165,-2.81462290,29.49538994,3.83361363,"k=11: 0.083, k=1: 0.080, k=2: 0.076, k=12: 0.071, k=15: 0.071"
10000,0.00548057,0.00549621,4.91882995,1.00000000,0.28974740,7.10713916,-2.81932433,20.02042007,1.80865717,"k=11: 0.093, k=1: 0.082, k=12: 0.075, k=2: 0.073, k=6: 0.071"
15000,0.00155110,0.00157975,5.06756456,1.00000000,0.28974740,8.64074029,-2.59620320,16.69826126,0.85550541,"k=11: 0.103, k=1: 0.080, k=12: 0.077, k=8: 0.076, k=6: 0.072"
20000,0.00013787,0.00013853,5.98673732,1.00000000,0.29123328,11.07781304,-2.78582682,17.23318100,0.40817988,"k=11: 0.123, k=8: 0.089, k=1: 0.081, k=6: 0.079, k=12: 0.075"
25000,0.00001450,0.00001413,6.76978228,1.00000000,0.29717682,13.42170291,-2.89653407,18.13473511,0.19739003,"k=11: 0.123, k=8: 0.092, k=1: 0.083, k=6: 0.083, k=12: 0.070"
30000,0.00377541,0.00377268,4.21601475,1.00000000,0.30460624,7.78158061,-1.72129189,16.99117088,0.12417788,"k=11: 0.145, k=8: 0.119, k=6: 0.094, k=1: 0.081, k=2: 0.071"
35000,0.00024219,0.00024392,5.50570955,1.00000000,0.30163447,10.13562266,-2.48409930,18.81147385,0.07613155,"k=11: 0.131, k=8: 0.116, k=6: 0.100, k=1: 0.081, k=12: 0.070"
40000,0.00739949,0.00732945,3.75027062,1.00000000,0.30460624,6.92728763,-1.53187323,18.45820236,0.10232292,"k=11: 0.138, k=8: 0.124, k=6: 0.107, k=1: 0.100, k=2: 0.072"
45000,0.00710515,0.00723230,3.57445781,1.00000000,0.31946508,6.61092716,-1.46269328,20.64011383,0.12114031,"k=8: 0.153, k=11: 0.148, k=6: 0.109, k=1: 0.109, k=15: 0.063"
50000,0.00063424,0.00064486,3.74822354,1.00000000,0.34323923,9.07540300,-0.82492995,20.11083603,0.06487663,"k=8: 0.163, k=11: 0.138, k=6: 0.120, k=1: 0.102, k=2: 0.058"
55000,0.00272878,0.00262064,2.10300014,1.00000000,0.48736999,7.86976454,0.74439343,19.20929909,0.07861619,"k=8: 0.180, k=11: 0.132, k=6: 0.126, k=1: 0.121, k=2: 0.063"
60000,0.00483200,0.00491236,1.19113626,1.00000000,0.63298663,7.00129361,1.77243736,20.52276611,0.13291834,"k=8: 0.206, k=11: 0.156, k=6: 0.149, k=1: 0.137, k=15: 0.048"
65000,0.00085154,0.00082264,1.50541943,1.00000000,0.62258544,9.05310737,2.11916856,19.74925423,0.06927356,"k=8: 0.201, k=6: 0.152, k=1: 0.139, k=11: 0.132, k=15: 0.047"
70000,0.00415280,0.00411577,0.47066526,1.00000000,0.86478455,7.53812493,3.62527425,18.40775299,0.08437004,"k=8: 0.243, k=6: 0.175, k=11: 0.157, k=1: 0.149, k=15: 0.041"
75000,0.00822977,0.00916374,1.00443679,1.00000000,0.70728083,5.96513875,1.86447221,20.91680336,0.12822868,"k=8: 0.248, k=6: 0.197, k=1: 0.152, k=11: 0.134, k=2: 0.039"
80000,0.00173664,0.00178935,0.03578403,1.00000000,0.99405646,8.23464966,6.13088404,17.76798058,0.06392428,"k=8: 0.267, k=6: 0.207, k=1: 0.177, k=11: 0.161, k=9: 0.035"
85000,0.00545420,0.00545527,0.55458275,1.00000000,0.84843982,6.53980594,3.16271302,20.85569763,0.13144171,"k=8: 0.232, k=6: 0.193, k=1: 0.179, k=11: 0.156, k=15: 0.043"
90000,0.00168381,0.00174249,0.00928309,1.00000000,1.00000000,8.43817223,7.06553997,16.97608376,0.05819996,"k=8: 0.256, k=1: 0.241, k=6: 0.202, k=11: 0.132, k=9: 0.031"
95000,0.00276361,0.00277255,0.00650045,1.00000000,1.00000000,8.05078718,7.02975468,16.40442657,0.07059637,"k=8: 0.284, k=1: 0.233, k=6: 0.194, k=11: 0.152, k=15: 0.026"
100000,3.07591033,2.95809555,3.96415232,0.18402778,0.03863299,-1.03839493,-2.07304775,17.35816956,0.11161388,"k=1: 0.326, k=8: 0.187, k=6: 0.124, k=11: 0.074, k=2: 0.036"
