/workspace/modeling-lab/ml/deep-learning/algorithmic-grokking/lab1/train.py:44: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.blocks = nn.TransformerEncoder(encoder_layer, num_layers=layers)
device=cuda p=31 train=288 test=673
step,loss,train_acc,test_acc,top_embedding_frequencies
1,3.486805,0.0486,0.0267,k=1: 0.080, k=11: 0.078, k=2: 0.076, k=15: 0.073, k=12: 0.070
1000,0.018269,1.0000,0.2912,k=1: 0.080, k=11: 0.079, k=2: 0.076, k=15: 0.073, k=12: 0.070
2000,0.009342,1.0000,0.2897,k=1: 0.080, k=11: 0.079, k=2: 0.076, k=15: 0.073, k=12: 0.070
3000,0.006458,1.0000,0.2897,k=1: 0.080, k=11: 0.079, k=2: 0.076, k=15: 0.073, k=12: 0.070
4000,0.004207,1.0000,0.2897,k=1: 0.080, k=11: 0.079, k=2: 0.076, k=15: 0.073, k=12: 0.070
5000,0.006335,1.0000,0.2897,k=11: 0.083, k=1: 0.080, k=2: 0.076, k=12: 0.071, k=15: 0.071
6000,0.005137,1.0000,0.2897,k=11: 0.083, k=1: 0.080, k=2: 0.076, k=12: 0.071, k=15: 0.071
7000,0.006923,1.0000,0.2897,k=11: 0.086, k=1: 0.080, k=2: 0.075, k=12: 0.073, k=6: 0.071
8000,0.006188,1.0000,0.2897,k=11: 0.087, k=1: 0.080, k=2: 0.074, k=12: 0.073, k=6: 0.071
9000,0.009657,0.9479,0.2645,k=11: 0.087, k=1: 0.080, k=2: 0.074, k=12: 0.073, k=6: 0.071
10000,0.005481,1.0000,0.2897,k=11: 0.093, k=1: 0.082, k=12: 0.075, k=2: 0.073, k=6: 0.071
11000,0.004908,1.0000,0.2897,k=11: 0.093, k=1: 0.081, k=12: 0.075, k=2: 0.073, k=6: 0.071
12000,0.005202,1.0000,0.2897,k=11: 0.097, k=1: 0.080, k=12: 0.076, k=2: 0.073, k=6: 0.071
13000,0.004372,1.0000,0.2897,k=11: 0.097, k=1: 0.080, k=12: 0.076, k=2: 0.072, k=8: 0.071
14000,0.002681,1.0000,0.2897,k=11: 0.100, k=1: 0.080, k=12: 0.077, k=8: 0.073, k=2: 0.072
15000,0.001551,1.0000,0.2897,k=11: 0.103, k=1: 0.080, k=12: 0.077, k=8: 0.076, k=6: 0.072
16000,0.000944,1.0000,0.2912,k=11: 0.108, k=1: 0.080, k=8: 0.079, k=12: 0.077, k=6: 0.073
17000,0.000591,1.0000,0.2912,k=11: 0.112, k=8: 0.081, k=1: 0.080, k=12: 0.077, k=6: 0.075
18000,0.000359,1.0000,0.2897,k=11: 0.116, k=8: 0.084, k=1: 0.080, k=12: 0.077, k=6: 0.076
19000,0.000227,1.0000,0.2897,k=11: 0.120, k=8: 0.087, k=1: 0.081, k=6: 0.077, k=12: 0.076
20000,0.000138,1.0000,0.2912,k=11: 0.123, k=8: 0.089, k=1: 0.081, k=6: 0.079, k=12: 0.075
